sample, correlation
1823_BA24, 0.782031935913597
4341_BA24, 0.780084873130017
4341_BA46, 0.780764426567699
4849_BA24, 0.781782617711626
4899_BA24, 0.780714400365284
5144_PFC, 0.780508861541088
5163_BA24, 0.78089996369011
5242_BA24, 0.781354418234937
5278_BA24, 0.78060000855198
5278_PFC, 0.780330769423169
5294_BA24, 0.781188293113856
5294_BA9, 0.780826353275909
5387_BA9, 0.780795033834646
5391_BA24, 0.780838915447421
5403_PFC, 0.7796340562181
5408_PFC_Nova, 0.781279744198809
5419_PFC, 0.780935210281822
5531_BA24, 0.781367513551296
5531_BA9, 0.780739863818838
5538_PFC_Nova, 0.780838901632908
5554_BA24, 0.780005315364679
5565_BA24, 0.780060621365302
5565_BA9, 0.781958700808061
5577_BA9, 0.78144541061078
5841_BA9, 0.780330830590123
5864_BA9, 0.780325474903869
5879_PFC_Nova, 0.780210873785633
5893_BA24, 0.780897544052199
5893_PFC, 0.780273695049194
5936_PFC_Nova, 0.779734883349856
5939_BA24, 0.78033297743338
5939_BA9, 0.780243895593662
5945_PFC, 0.779392224565071
5958_BA24, 0.781300007631258
5958_BA9, 0.780241496661568
5976_BA9, 0.78181357224032
5978_BA24, 0.781744343856877
5978_BA9, 0.780758593529378
6032_BA24, 0.781041041446737
6033_BA24, 0.782532502134658
6033_BA9, 0.781478186280576
