sample, correlation
1823_BA24, 0.775443623672479
4341_BA24, 0.811888663574964
4341_BA46, 0.815701643496999
4849_BA24, 0.818079931057451
4899_BA24, 0.793275551256565
5144_PFC, 0.746684607476107
5163_BA24, 0.806348054579947
5242_BA24, 0.795148717780883
5278_BA24, 0.818840040080574
5278_PFC, 0.734029338743321
5294_BA24, 0.791802290113839
5294_BA9, 0.786610949007145
5387_BA9, 0.834816456043291
5391_BA24, 0.81233143501403
5403_PFC, 0.759301032432181
5408_PFC_Nova, 0.774761806984397
5419_PFC, 0.756361738202511
5531_BA24, 0.801948277823241
5531_BA9, 0.807806003328797
5538_PFC_Nova, 0.75265610240683
5554_BA24, 0.806794119614432
5565_BA24, 0.83024276469521
5565_BA9, 0.824555855430604
5577_BA9, 0.814387813938481
5841_BA9, 0.796555739936555
5864_BA9, 0.800078421852613
5879_PFC_Nova, 0.74225078456181
5893_BA24, 0.786224372397497
5893_PFC, 0.767395807516277
5936_PFC_Nova, 0.769667260424101
5939_BA24, 0.807832527475149
5939_BA9, 0.819847330403505
5945_PFC, 0.754078513978558
5958_BA24, 0.802118197381477
5958_BA9, 0.780866949206775
5976_BA9, 0.805095996212747
5978_BA24, 0.809302668503778
5978_BA9, 0.7992105705899
6032_BA24, 0.777697426215137
6033_BA24, 0.829965561197976
6033_BA9, 0.838582115069727
