sample, correlation
1823_BA24, 0.798012081857523
4341_BA24, 0.821987519200466
4341_BA46, 0.821579986762122
4849_BA24, 0.834368099819237
4899_BA24, 0.808531625433453
5144_PFC, 0.748156966324918
5163_BA24, 0.808833923142711
5242_BA24, 0.807480356541174
5278_BA24, 0.828923759220112
5278_PFC, 0.737234174583675
5294_BA24, 0.815620963332324
5294_BA9, 0.805317542974354
5387_BA9, 0.839043443167013
5391_BA24, 0.807675693935211
5403_PFC, 0.758576564130027
5408_PFC_Nova, 0.788672950672224
5419_PFC, 0.759768732344841
5531_BA24, 0.809867301126853
5531_BA9, 0.819769124249989
5538_PFC_Nova, 0.755375088412618
5554_BA24, 0.831126824775645
5565_BA24, 0.836849306414691
5565_BA9, 0.832453706027016
5577_BA9, 0.828973946012645
5841_BA9, 0.810501137053631
5864_BA9, 0.812513803624918
5879_PFC_Nova, 0.752167147212917
5893_BA24, 0.803722873881153
5893_PFC, 0.772843309234887
5936_PFC_Nova, 0.772518938193309
5939_BA24, 0.813678908413218
5939_BA9, 0.825987145982586
5945_PFC, 0.759893758675816
5958_BA24, 0.818187350180592
5958_BA9, 0.794521670017659
5976_BA9, 0.809148733172715
5978_BA24, 0.813509716837165
5978_BA9, 0.805711293530997
6032_BA24, 0.789195116491319
6033_BA24, 0.833344670329808
6033_BA9, 0.84133053177564
