sample, correlation
1823_BA24, 0.789252726579583
4341_BA24, 0.788004437869798
4341_BA46, 0.788605682962833
4849_BA24, 0.789309835151843
4899_BA24, 0.788365711430826
5144_PFC, 0.788056354552227
5163_BA24, 0.788341411264941
5242_BA24, 0.788827527194519
5278_BA24, 0.788193091287151
5278_PFC, 0.787943405105666
5294_BA24, 0.788902646442239
5294_BA9, 0.788079798200553
5387_BA9, 0.788124662450847
5391_BA24, 0.788569594018616
5403_PFC, 0.786885747098599
5408_PFC_Nova, 0.788555520803816
5419_PFC, 0.78845323518014
5531_BA24, 0.788592980441486
5531_BA9, 0.788331342071346
5538_PFC_Nova, 0.788626546778243
5554_BA24, 0.787546131923949
5565_BA24, 0.787010495415507
5565_BA9, 0.789838979207218
5577_BA9, 0.78904515158315
5841_BA9, 0.788218269685505
5864_BA9, 0.788109353749322
5879_PFC_Nova, 0.78756089223429
5893_BA24, 0.78886128462973
5893_PFC, 0.787515590042569
5936_PFC_Nova, 0.787649354647036
5939_BA24, 0.7877553827287
5939_BA9, 0.787925136080379
5945_PFC, 0.786772104922251
5958_BA24, 0.78933269422421
5958_BA9, 0.787732364371922
5976_BA9, 0.78882804456628
5978_BA24, 0.789327344492771
5978_BA9, 0.78791920593896
6032_BA24, 0.788032770096684
6033_BA24, 0.789678845761372
6033_BA9, 0.789195818211938
